in s,C3 in V
2.99940000E-02,-4.88281E-03
2.99940096E-02,-4.88281E-03
2.99940192E-02,-2.44141E-02
2.99940288E-02,-2.44141E-02
2.99940384E-02,2.44141E-02
2.99940480E-02,-3.41797E-02
2.99940576E-02,-4.88281E-03
2.99940672E-02,1.46484E-02
2.99940768E-02,2.44141E-02
2.99940864E-02,4.88281E-03
2.99940960E-02,-4.88281E-03
2.99941056E-02,4.88281E-03
2.99941152E-02,-1.46484E-02
2.99941248E-02,1.46484E-02
2.99941344E-02,-1.46484E-02
2.99941440E-02,-4.88281E-03
2.99941536E-02,4.88281E-03
2.99941632E-02,4.88281E-03
2.99941728E-02,1.46484E-02
2.99941824E-02,-2.44141E-02
2.99941920E-02,4.88281E-03
2.99942016E-02,-4.88281E-03
2.99942112E-02,-1.46484E-02
2.99942208E-02,1.46484E-02
2.99942304E-02,-1.46484E-02
2.99942400E-02,-3.41797E-02
2.99942496E-02,-4.88281E-03
2.99942592E-02,-4.88281E-03
2.99942688E-02,-2.44141E-02
2.99942784E-02,4.88281E-03
2.99942880E-02,4.88281E-03
2.99942976E-02,-4.88281E-03
2.99943072E-02,-4.88281E-03
2.99943168E-02,-4.88281E-03
2.99943264E-02,2.44141E-02
2.99943360E-02,4.88281E-03
2.99943456E-02,-4.88281E-03
2.99943552E-02,-1.46484E-02
2.99943648E-02,1.46484E-02
2.99943744E-02,1.46484E-02
2.99943840E-02,-1.46484E-02
2.99943936E-02,-2.44141E-02
2.99944032E-02,-2.44141E-02
2.99944128E-02,4.88281E-03
2.99944224E-02,-4.88281E-03
2.99944320E-02,1.46484E-02
2.99944416E-02,-4.88281E-03
2.99944512E-02,-4.88281E-03
2.99944608E-02,4.88281E-03
2.99944704E-02,4.88281E-03
2.99944800E-02,-4.88281E-03
2.99944896E-02,-2.44141E-02
2.99944992E-02,4.88281E-03
2.99945088E-02,-1.46484E-02
2.99945184E-02,1.46484E-02
2.99945280E-02,4.88281E-03
2.99945376E-02,-4.88281E-03
2.99945472E-02,-4.88281E-03
2.99945568E-02,4.88281E-03
2.99945664E-02,-2.44141E-02
2.99945760E-02,1.46484E-02
2.99945856E-02,-4.88281E-03
2.99945952E-02,2.44141E-02
2.99946048E-02,-1.46484E-02
2.99946144E-02,-1.46484E-02
2.99946240E-02,1.46484E-02
2.99946336E-02,-4.39453E-02
2.99946432E-02,4.88281E-03
2.99946528E-02,-4.88281E-03
2.99946624E-02,-2.44141E-02
2.99946720E-02,-4.88281E-03
2.99946816E-02,-3.41797E-02
2.99946912E-02,-4.88281E-03
2.99947008E-02,4.88281E-03
2.99947104E-02,-1.46484E-02
2.99947200E-02,4.88281E-03
