in s,C3 in V
2.33000000E-02,-8.47168E-01
2.33000096E-02,-8.27637E-01
2.33000192E-02,-8.37402E-01
2.33000288E-02,-8.22754E-01
2.33000384E-02,-8.37402E-01
2.33000480E-02,-8.47168E-01
2.33000576E-02,-8.47168E-01
2.33000672E-02,-8.37402E-01
2.33000768E-02,-8.42285E-01
2.33000864E-02,-8.22754E-01
2.33000960E-02,-8.37402E-01
2.33001056E-02,-8.32520E-01
2.33001152E-02,-8.42285E-01
2.33001248E-02,-8.22754E-01
2.33001344E-02,-8.47168E-01
2.33001440E-02,-8.22754E-01
2.33001536E-02,-8.42285E-01
2.33001632E-02,-8.22754E-01
2.33001728E-02,-8.42285E-01
2.33001824E-02,-8.42285E-01
2.33001920E-02,-8.37402E-01
2.33002016E-02,-8.32520E-01
2.33002112E-02,-8.47168E-01
2.33002208E-02,-8.42285E-01
2.33002304E-02,-8.37402E-01
2.33002400E-02,-8.32520E-01
2.33002496E-02,-8.37402E-01
2.33002592E-02,-8.22754E-01
2.33002688E-02,-8.32520E-01
2.33002784E-02,-8.37402E-01
2.33002880E-02,-8.22754E-01
2.33002976E-02,-8.27637E-01
2.33003072E-02,-8.37402E-01
2.33003168E-02,-8.42285E-01
2.33003264E-02,-8.37402E-01
2.33003360E-02,-8.22754E-01
2.33003456E-02,-8.42285E-01
2.33003552E-02,-8.32520E-01
2.33003648E-02,-8.37402E-01
2.33003744E-02,-8.12988E-01
2.33003840E-02,-8.32520E-01
2.33003936E-02,-8.22754E-01
2.33004032E-02,-8.42285E-01
2.33004128E-02,-8.22754E-01
2.33004224E-02,-8.37402E-01
2.33004320E-02,-8.17871E-01
2.33004416E-02,-8.37402E-01
2.33004512E-02,-8.37402E-01
2.33004608E-02,-8.27637E-01
2.33004704E-02,-8.32520E-01
2.33004800E-02,-8.56934E-01
2.33004896E-02,-8.22754E-01
2.33004992E-02,-8.42285E-01
2.33005088E-02,-8.32520E-01
2.33005184E-02,-8.17871E-01
2.33005280E-02,-8.32520E-01
2.33005376E-02,-8.37402E-01
2.33005472E-02,-8.37402E-01
2.33005568E-02,-8.47168E-01
2.33005664E-02,-8.37402E-01
2.33005760E-02,-8.42285E-01
2.33005856E-02,-8.37402E-01
2.33005952E-02,-8.37402E-01
2.33006048E-02,-8.32520E-01
2.33006144E-02,-8.47168E-01
2.33006240E-02,-8.22754E-01
2.33006336E-02,-8.42285E-01
2.33006432E-02,-8.42285E-01
2.33006528E-02,-8.42285E-01
2.33006624E-02,-8.37402E-01
2.33006720E-02,-8.42285E-01
2.33006816E-02,-8.42285E-01
2.33006912E-02,-8.32520E-01
2.33007008E-02,-8.42285E-01
2.33007104E-02,-8.52051E-01
2.33007200E-02,-8.27637E-01
2.33007296E-02,-8.32520E-01
2.33007392E-02,-8.32520E-01
2.33007488E-02,-8.47168E-01
2.33007584E-02,-8.22754E-01
2.33007680E-02,-8.42285E-01
2.33007776E-02,-8.56934E-01
2.33007872E-02,-8.27637E-01
2.33007968E-02,-8.42285E-01
2.33008064E-02,-8.27637E-01
2.33008160E-02,-8.22754E-01
2.33008256E-02,-8.37402E-01
2.33008352E-02,-8.22754E-01
2.33008448E-02,-8.37402E-01
2.33008544E-02,-8.52051E-01
2.33008640E-02,-8.52051E-01
2.33008736E-02,-8.32520E-01
2.33008832E-02,-8.37402E-01
2.33008928E-02,-8.37402E-01
2.33009024E-02,-8.42285E-01
2.33009120E-02,-8.27637E-01
2.33009216E-02,-8.42285E-01
2.33009312E-02,-8.37402E-01
2.33009408E-02,-8.42285E-01
2.33009504E-02,-8.32520E-01
2.33009600E-02,-8.27637E-01
2.33009696E-02,-8.32520E-01
2.33009792E-02,-8.37402E-01
2.33009888E-02,-8.37402E-01
2.33009984E-02,-8.42285E-01
2.33010080E-02,-8.17871E-01
2.33010176E-02,-8.37402E-01
2.33010272E-02,-8.32520E-01
2.33010368E-02,-8.22754E-01
2.33010464E-02,-8.27637E-01
2.33010560E-02,-8.32520E-01
2.33010656E-02,-8.42285E-01
2.33010752E-02,-8.27637E-01
2.33010848E-02,-8.22754E-01
2.33010944E-02,-8.32520E-01
2.33011040E-02,-8.32520E-01
2.33011136E-02,-8.37402E-01
2.33011232E-02,-8.22754E-01
2.33011328E-02,-8.22754E-01
2.33011424E-02,-8.12988E-01
2.33011520E-02,-8.32520E-01
2.33011616E-02,-8.22754E-01
2.33011712E-02,-8.27637E-01
2.33011808E-02,-8.27637E-01
2.33011904E-02,-8.37402E-01
2.33012000E-02,-8.32520E-01
2.33012096E-02,-8.37402E-01
2.33012192E-02,-8.27637E-01
2.33012288E-02,-8.37402E-01
2.33012384E-02,-8.37402E-01
2.33012480E-02,-8.47168E-01
2.33012576E-02,-8.32520E-01
2.33012672E-02,-8.37402E-01
2.33012768E-02,-8.27637E-01
2.33012864E-02,-8.27637E-01
2.33012960E-02,-8.22754E-01
2.33013056E-02,-8.42285E-01
2.33013152E-02,-8.37402E-01
2.33013248E-02,-8.37402E-01
2.33013344E-02,-8.17871E-01
2.33013440E-02,-8.32520E-01
2.33013536E-02,-8.22754E-01
2.33013632E-02,-8.47168E-01
2.33013728E-02,-8.37402E-01
2.33013824E-02,-8.42285E-01
2.33013920E-02,-8.37402E-01
2.33014016E-02,-8.37402E-01
2.33014112E-02,-8.27637E-01
2.33014208E-02,-8.32520E-01
2.33014304E-02,-8.42285E-01
2.33014400E-02,-8.42285E-01
2.33014496E-02,-8.42285E-01
2.33014592E-02,-8.42285E-01
2.33014688E-02,-8.37402E-01
2.33014784E-02,-8.56934E-01
2.33014880E-02,-8.27637E-01
2.33014976E-02,-8.37402E-01
2.33015072E-02,-8.22754E-01
2.33015168E-02,-8.32520E-01
2.33015264E-02,-8.37402E-01
2.33015360E-02,-8.37402E-01
2.33015456E-02,-8.27637E-01
2.33015552E-02,-8.42285E-01
2.33015648E-02,-8.27637E-01
2.33015744E-02,-8.37402E-01
2.33015840E-02,-8.37402E-01
2.33015936E-02,-8.42285E-01
2.33016032E-02,-8.22754E-01
2.33016128E-02,-8.32520E-01
2.33016224E-02,-8.12988E-01
2.33016320E-02,-8.42285E-01
2.33016416E-02,-8.37402E-01
2.33016512E-02,-8.47168E-01
2.33016608E-02,-8.37402E-01
2.33016704E-02,-8.42285E-01
2.33016800E-02,-8.42285E-01
2.33016896E-02,-8.42285E-01
2.33016992E-02,-8.37402E-01
2.33017088E-02,-8.27637E-01
2.33017184E-02,-8.42285E-01
2.33017280E-02,-8.42285E-01
2.33017376E-02,-8.27637E-01
2.33017472E-02,-8.37402E-01
2.33017568E-02,-8.27637E-01
2.33017664E-02,-8.52051E-01
2.33017760E-02,-8.22754E-01
2.33017856E-02,-8.27637E-01
2.33017952E-02,-8.27637E-01
2.33018048E-02,-8.42285E-01
2.33018144E-02,-8.12988E-01
2.33018240E-02,-8.32520E-01
2.33018336E-02,-8.22754E-01
2.33018432E-02,-8.42285E-01
2.33018528E-02,-8.32520E-01
2.33018624E-02,-8.27637E-01
2.33018720E-02,-8.12988E-01
2.33018816E-02,-8.47168E-01
2.33018912E-02,-8.37402E-01
2.33019008E-02,-8.52051E-01
2.33019104E-02,-8.22754E-01
2.33019200E-02,-8.37402E-01
2.33019296E-02,-8.08105E-01
2.33019392E-02,-8.42285E-01
2.33019488E-02,-8.42285E-01
2.33019584E-02,-8.32520E-01
2.33019680E-02,-8.27637E-01
2.33019776E-02,-8.32520E-01
2.33019872E-02,-8.37402E-01
2.33019968E-02,-8.42285E-01
2.33020064E-02,-8.27637E-01
2.33020160E-02,-8.42285E-01
2.33020256E-02,-8.37402E-01
2.33020352E-02,-8.22754E-01
2.33020448E-02,-8.32520E-01
2.33020544E-02,-8.32520E-01
2.33020640E-02,-8.42285E-01
2.33020736E-02,-8.47168E-01
2.33020832E-02,-8.22754E-01
2.33020928E-02,-8.32520E-01
2.33021024E-02,-8.32520E-01
2.33021120E-02,-8.42285E-01
2.33021216E-02,-8.47168E-01
2.33021312E-02,-8.37402E-01
2.33021408E-02,-8.27637E-01
2.33021504E-02,-8.27637E-01
2.33021600E-02,-8.37402E-01
2.33021696E-02,-8.52051E-01
2.33021792E-02,-8.32520E-01
2.33021888E-02,-8.27637E-01
2.33021984E-02,-8.27637E-01
2.33022080E-02,-8.37402E-01
2.33022176E-02,-8.37402E-01
2.33022272E-02,-8.42285E-01
2.33022368E-02,-8.47168E-01
2.33022464E-02,-8.37402E-01
2.33022560E-02,-8.42285E-01
2.33022656E-02,-8.42285E-01
2.33022752E-02,-8.37402E-01
2.33022848E-02,-8.42285E-01
2.33022944E-02,-8.32520E-01
2.33023040E-02,-8.32520E-01
2.33023136E-02,-8.32520E-01
2.33023232E-02,-8.47168E-01
2.33023328E-02,-8.27637E-01
2.33023424E-02,-8.66699E-01
2.33023520E-02,-8.27637E-01
2.33023616E-02,-8.42285E-01
2.33023712E-02,-8.47168E-01
2.33023808E-02,-8.37402E-01
2.33023904E-02,-8.42285E-01
2.33024000E-02,-8.47168E-01
2.33024096E-02,-8.22754E-01
2.33024192E-02,-8.42285E-01
2.33024288E-02,-8.17871E-01
2.33024384E-02,-8.42285E-01
2.33024480E-02,-8.47168E-01
2.33024576E-02,-8.32520E-01
2.33024672E-02,-8.22754E-01
2.33024768E-02,-8.61816E-01
2.33024864E-02,-8.52051E-01
2.33024960E-02,-8.42285E-01
2.33025056E-02,-8.22754E-01
2.33025152E-02,-8.47168E-01
2.33025248E-02,-8.22754E-01
2.33025344E-02,-8.27637E-01
2.33025440E-02,-8.37402E-01
2.33025536E-02,-8.47168E-01
2.33025632E-02,-8.22754E-01
2.33025728E-02,-8.37402E-01
2.33025824E-02,-8.17871E-01
2.33025920E-02,-8.47168E-01
2.33026016E-02,-8.32520E-01
2.33026112E-02,-8.42285E-01
2.33026208E-02,-8.37402E-01
2.33026304E-02,-8.32520E-01
2.33026400E-02,-8.22754E-01
2.33026496E-02,-8.52051E-01
2.33026592E-02,-8.22754E-01
2.33026688E-02,-8.37402E-01
2.33026784E-02,-8.12988E-01
2.33026880E-02,-8.47168E-01
2.33026976E-02,-8.37402E-01
2.33027072E-02,-8.42285E-01
2.33027168E-02,-8.37402E-01
2.33027264E-02,-8.37402E-01
2.33027360E-02,-8.32520E-01
2.33027456E-02,-8.37402E-01
2.33027552E-02,-8.22754E-01
2.33027648E-02,-8.52051E-01
2.33027744E-02,-8.37402E-01
2.33027840E-02,-8.37402E-01
2.33027936E-02,-8.27637E-01
2.33028032E-02,-8.32520E-01
2.33028128E-02,-8.32520E-01
2.33028224E-02,-8.61816E-01
2.33028320E-02,-8.42285E-01
2.33028416E-02,-8.37402E-01
2.33028512E-02,-8.37402E-01
2.33028608E-02,-8.52051E-01
2.33028704E-02,-8.22754E-01
2.33028800E-02,-8.42285E-01
2.33028896E-02,-8.32520E-01
2.33028992E-02,-8.52051E-01
2.33029088E-02,-8.42285E-01
2.33029184E-02,-8.42285E-01
2.33029280E-02,-8.22754E-01
2.33029376E-02,-8.47168E-01
2.33029472E-02,-8.42285E-01
2.33029568E-02,-8.47168E-01
2.33029664E-02,-8.27637E-01
2.33029760E-02,-8.52051E-01
2.33029856E-02,-8.22754E-01
2.33029952E-02,-8.32520E-01
2.33030048E-02,-8.42285E-01
2.33030144E-02,-8.32520E-01
2.33030240E-02,-8.27637E-01
2.33030336E-02,-8.37402E-01
2.33030432E-02,-8.37402E-01
2.33030528E-02,-8.42285E-01
2.33030624E-02,-8.37402E-01
2.33030720E-02,-8.32520E-01
2.33030816E-02,-8.42285E-01
2.33030912E-02,-8.42285E-01
2.33031008E-02,-8.27637E-01
2.33031104E-02,-8.42285E-01
2.33031200E-02,-8.37402E-01
2.33031296E-02,-8.37402E-01
2.33031392E-02,-8.37402E-01
2.33031488E-02,-8.42285E-01
2.33031584E-02,-8.47168E-01
2.33031680E-02,-8.37402E-01
2.33031776E-02,-8.37402E-01
2.33031872E-02,-8.47168E-01
2.33031968E-02,-8.32520E-01
2.33032064E-02,-8.56934E-01
2.33032160E-02,-8.27637E-01
2.33032256E-02,-8.32520E-01
2.33032352E-02,-8.27637E-01
2.33032448E-02,-8.27637E-01
2.33032544E-02,-8.22754E-01
2.33032640E-02,-8.37402E-01
2.33032736E-02,-8.17871E-01
2.33032832E-02,-8.27637E-01
2.33032928E-02,-8.22754E-01
2.33033024E-02,-8.37402E-01
2.33033120E-02,-8.17871E-01
2.33033216E-02,-8.32520E-01
2.33033312E-02,-8.22754E-01
2.33033408E-02,-8.32520E-01
2.33033504E-02,-8.37402E-01
2.33033600E-02,-8.32520E-01
2.33033696E-02,-8.27637E-01
2.33033792E-02,-8.37402E-01
2.33033888E-02,-8.17871E-01
2.33033984E-02,-8.22754E-01
2.33034080E-02,-8.47168E-01
2.33034176E-02,-8.42285E-01
2.33034272E-02,-8.22754E-01
2.33034368E-02,-8.42285E-01
2.33034464E-02,-8.08105E-01
2.33034560E-02,-8.22754E-01
2.33034656E-02,-8.37402E-01
2.33034752E-02,-8.17871E-01
2.33034848E-02,-8.37402E-01
2.33034944E-02,-8.27637E-01
2.33035040E-02,-8.22754E-01
2.33035136E-02,-8.37402E-01
2.33035232E-02,-8.32520E-01
2.33035328E-02,-8.37402E-01
2.33035424E-02,-8.22754E-01
2.33035520E-02,-8.37402E-01
2.33035616E-02,-8.37402E-01
2.33035712E-02,-8.27637E-01
2.33035808E-02,-8.42285E-01
2.33035904E-02,-8.42285E-01
2.33036000E-02,-8.27637E-01
2.33036096E-02,-8.47168E-01
2.33036192E-02,-8.27637E-01
2.33036288E-02,-8.56934E-01
2.33036384E-02,-8.27637E-01
2.33036480E-02,-8.52051E-01
2.33036576E-02,-8.37402E-01
