in s,C1 in V
2.36000000E-02,-1.04863E-01
2.36000048E-02,-1.09746E-01
2.36000096E-02,-9.99805E-02
2.36000144E-02,-9.50977E-02
2.36000192E-02,-1.04863E-01
2.36000240E-02,-9.02148E-02
2.36000288E-02,-9.50977E-02
2.36000336E-02,-1.04863E-01
2.36000384E-02,-9.99805E-02
2.36000432E-02,-1.09746E-01
2.36000480E-02,-9.99805E-02
2.36000528E-02,-1.09746E-01
2.36000576E-02,-1.04863E-01
2.36000624E-02,-1.04863E-01
2.36000672E-02,-1.04863E-01
2.36000720E-02,-1.14629E-01
2.36000768E-02,-9.99805E-02
2.36000816E-02,-1.09746E-01
2.36000864E-02,-1.04863E-01
2.36000912E-02,-1.19512E-01
2.36000960E-02,-1.09746E-01
2.36001008E-02,-1.09746E-01
2.36001056E-02,-1.19512E-01
2.36001104E-02,-9.99805E-02
2.36001152E-02,-1.04863E-01
2.36001200E-02,-1.14629E-01
2.36001248E-02,-1.19512E-01
2.36001296E-02,-1.14629E-01
2.36001344E-02,-1.14629E-01
2.36001392E-02,-1.09746E-01
2.36001440E-02,-1.34160E-01
2.36001488E-02,-1.19512E-01
2.36001536E-02,-1.09746E-01
2.36001584E-02,-1.19512E-01
2.36001632E-02,-1.34160E-01
2.36001680E-02,-1.19512E-01
2.36001728E-02,-1.14629E-01
2.36001776E-02,-1.14629E-01
2.36001824E-02,-1.19512E-01
2.36001872E-02,-1.34160E-01
2.36001920E-02,-1.09746E-01
2.36001968E-02,-1.19512E-01
2.36002016E-02,-1.39043E-01
2.36002064E-02,-1.34160E-01
2.36002112E-02,-1.24395E-01
2.36002160E-02,-1.39043E-01
2.36002208E-02,-1.39043E-01
2.36002256E-02,-1.43926E-01
2.36002304E-02,-1.29277E-01
2.36002352E-02,-1.39043E-01
2.36002400E-02,-1.39043E-01
2.36002448E-02,-1.39043E-01
2.36002496E-02,-1.29277E-01
2.36002544E-02,-1.39043E-01
2.36002592E-02,-1.24395E-01
2.36002640E-02,-1.39043E-01
2.36002688E-02,-1.34160E-01
2.36002736E-02,-1.34160E-01
2.36002784E-02,-1.39043E-01
2.36002832E-02,-1.53691E-01
2.36002880E-02,-1.43926E-01
2.36002928E-02,-1.53691E-01
2.36002976E-02,-1.43926E-01
2.36003024E-02,-1.39043E-01
2.36003072E-02,-1.48809E-01
2.36003120E-02,-1.48809E-01
2.36003168E-02,-1.43926E-01
2.36003216E-02,-1.53691E-01
2.36003264E-02,-1.53691E-01
2.36003312E-02,-1.43926E-01
2.36003360E-02,-1.39043E-01
2.36003408E-02,-1.34160E-01
2.36003456E-02,-1.39043E-01
2.36003504E-02,-1.39043E-01
2.36003552E-02,-1.58574E-01
2.36003600E-02,-1.34160E-01
2.36003648E-02,-1.48809E-01
2.36003696E-02,-1.48809E-01
2.36003744E-02,-1.48809E-01
2.36003792E-02,-1.58574E-01
2.36003840E-02,-1.63457E-01
2.36003888E-02,-1.58574E-01
2.36003936E-02,-1.63457E-01
2.36003984E-02,-1.48809E-01
2.36004032E-02,-1.43926E-01
2.36004080E-02,-1.58574E-01
2.36004128E-02,-1.58574E-01
2.36004176E-02,-1.63457E-01
2.36004224E-02,-1.39043E-01
2.36004272E-02,-1.43926E-01
2.36004320E-02,-1.58574E-01
2.36004368E-02,-1.68340E-01
2.36004416E-02,-1.53691E-01
2.36004464E-02,-1.53691E-01
2.36004512E-02,-1.68340E-01
2.36004560E-02,-1.48809E-01
2.36004608E-02,-1.73223E-01
2.36004656E-02,-1.58574E-01
2.36004704E-02,-1.68340E-01
2.36004752E-02,-1.58574E-01
2.36004800E-02,-1.58574E-01
2.36004848E-02,-1.63457E-01
2.36004896E-02,-1.63457E-01
2.36004944E-02,-1.73223E-01
2.36004992E-02,-1.58574E-01
2.36005040E-02,-1.73223E-01
2.36005088E-02,-1.68340E-01
2.36005136E-02,-1.58574E-01
2.36005184E-02,-1.78105E-01
2.36005232E-02,-1.78105E-01
2.36005280E-02,-1.73223E-01
2.36005328E-02,-1.78105E-01
