in s,C3 in V
2.37800000E-02,9.61914E-01
2.37800024E-02,9.81445E-01
2.37800048E-02,9.71680E-01
2.37800072E-02,1.00098E+00
2.37800096E-02,9.61914E-01
2.37800120E-02,9.71680E-01
2.37800144E-02,9.81445E-01
2.37800168E-02,9.71680E-01
2.37800192E-02,9.91211E-01
2.37800216E-02,9.91211E-01
2.37800240E-02,9.71680E-01
2.37800264E-02,1.00098E+00
2.37800288E-02,9.71680E-01
2.37800312E-02,1.00098E+00
2.37800336E-02,9.61914E-01
2.37800360E-02,9.81445E-01
2.37800384E-02,1.00098E+00
2.37800408E-02,1.00098E+00
2.37800432E-02,9.91211E-01
2.37800456E-02,1.00098E+00
2.37800480E-02,9.91211E-01
2.37800504E-02,1.00098E+00
2.37800528E-02,1.00098E+00
2.37800552E-02,1.00098E+00
2.37800576E-02,1.01074E+00
2.37800600E-02,9.61914E-01
2.37800624E-02,1.01074E+00
2.37800648E-02,1.01074E+00
2.37800672E-02,1.01074E+00
2.37800696E-02,1.00098E+00
2.37800720E-02,9.91211E-01
2.37800744E-02,1.01074E+00
2.37800768E-02,9.91211E-01
2.37800792E-02,9.81445E-01
2.37800816E-02,1.00098E+00
2.37800840E-02,9.91211E-01
2.37800864E-02,1.01074E+00
2.37800888E-02,1.01074E+00
2.37800912E-02,1.04004E+00
2.37800936E-02,1.03027E+00
2.37800960E-02,1.00098E+00
2.37800984E-02,9.91211E-01
2.37801008E-02,1.01074E+00
2.37801032E-02,1.01074E+00
2.37801056E-02,1.04004E+00
2.37801080E-02,1.01074E+00
2.37801104E-02,1.03027E+00
2.37801128E-02,1.02051E+00
2.37801152E-02,1.00098E+00
2.37801176E-02,1.02051E+00
2.37801200E-02,1.03027E+00
2.37801224E-02,1.04004E+00
2.37801248E-02,1.03027E+00
2.37801272E-02,1.01074E+00
2.37801296E-02,1.00098E+00
2.37801320E-02,1.02051E+00
2.37801344E-02,1.04004E+00
2.37801368E-02,1.01074E+00
2.37801392E-02,1.02051E+00
2.37801416E-02,1.04004E+00
2.37801440E-02,1.01074E+00
2.37801464E-02,1.03027E+00
2.37801488E-02,1.00098E+00
2.37801512E-02,1.03027E+00
2.37801536E-02,1.04004E+00
2.37801560E-02,1.04004E+00
2.37801584E-02,1.04004E+00
2.37801608E-02,1.02051E+00
2.37801632E-02,1.04004E+00
2.37801656E-02,1.01074E+00
2.37801680E-02,1.04004E+00
2.37801704E-02,1.05957E+00
2.37801728E-02,1.06934E+00
2.37801752E-02,1.00098E+00
2.37801776E-02,1.04004E+00
2.37801800E-02,1.04004E+00
2.37801824E-02,1.04004E+00
2.37801848E-02,1.04004E+00
2.37801872E-02,1.06934E+00
2.37801896E-02,1.07910E+00
2.37801920E-02,1.05957E+00
2.37801944E-02,1.04004E+00
2.37801968E-02,1.04004E+00
2.37801992E-02,1.06934E+00
2.37802016E-02,1.04004E+00
2.37802040E-02,1.02051E+00
2.37802064E-02,1.03027E+00
2.37802088E-02,1.04004E+00
2.37802112E-02,1.04004E+00
2.37802136E-02,1.03027E+00
2.37802160E-02,1.04004E+00
2.37802184E-02,1.04980E+00
2.37802208E-02,1.04980E+00
2.37802232E-02,1.03027E+00
2.37802256E-02,1.06934E+00
2.37802280E-02,1.06934E+00
2.37802304E-02,1.07910E+00
2.37802328E-02,1.05957E+00
2.37802352E-02,1.06934E+00
2.37802376E-02,1.03027E+00
2.37802400E-02,1.04980E+00
2.37802424E-02,1.06934E+00
2.37802448E-02,1.06934E+00
2.37802472E-02,1.04004E+00
2.37802496E-02,1.09863E+00
2.37802520E-02,1.04980E+00
2.37802544E-02,1.07910E+00
2.37802568E-02,1.03027E+00
2.37802592E-02,1.01074E+00
2.37802616E-02,1.07910E+00
2.37802640E-02,1.06934E+00
2.37802664E-02,1.06934E+00
2.37802688E-02,1.04004E+00
2.37802712E-02,1.06934E+00
2.37802736E-02,1.08887E+00
2.37802760E-02,1.08887E+00
2.37802784E-02,1.09863E+00
2.37802808E-02,1.06934E+00
2.37802832E-02,1.03027E+00
2.37802856E-02,1.07910E+00
2.37802880E-02,1.08887E+00
2.37802904E-02,1.04980E+00
2.37802928E-02,1.07910E+00
2.37802952E-02,1.08887E+00
2.37802976E-02,1.05957E+00
2.37803000E-02,1.05957E+00
2.37803024E-02,1.06934E+00
2.37803048E-02,1.06934E+00
2.37803072E-02,1.07910E+00
2.37803096E-02,1.04980E+00
2.37803120E-02,1.07910E+00
2.37803144E-02,1.06934E+00
2.37803168E-02,1.06934E+00
2.37803192E-02,1.06934E+00
2.37803216E-02,1.06934E+00
2.37803240E-02,1.07910E+00
2.37803264E-02,1.08887E+00
2.37803288E-02,1.09863E+00
2.37803312E-02,1.11816E+00
2.37803336E-02,1.09863E+00
2.37803360E-02,1.06934E+00
2.37803384E-02,1.07910E+00
2.37803408E-02,1.10840E+00
2.37803432E-02,1.07910E+00
2.37803456E-02,1.10840E+00
2.37803480E-02,1.05957E+00
2.37803504E-02,1.09863E+00
2.37803528E-02,1.10840E+00
2.37803552E-02,1.10840E+00
2.37803576E-02,1.13770E+00
2.37803600E-02,1.06934E+00
2.37803624E-02,1.08887E+00
2.37803648E-02,1.09863E+00
2.37803672E-02,1.08887E+00
2.37803696E-02,1.09863E+00
2.37803720E-02,1.12793E+00
2.37803744E-02,1.09863E+00
2.37803768E-02,1.13770E+00
2.37803792E-02,1.06934E+00
2.37803816E-02,1.09863E+00
2.37803840E-02,1.09863E+00
2.37803864E-02,1.07910E+00
2.37803888E-02,1.08887E+00
2.37803912E-02,1.11816E+00
2.37803936E-02,1.08887E+00
2.37803960E-02,1.08887E+00
2.37803984E-02,1.12793E+00
2.37804008E-02,1.11816E+00
2.37804032E-02,1.08887E+00
2.37804056E-02,1.08887E+00
2.37804080E-02,1.11816E+00
2.37804104E-02,1.10840E+00
2.37804128E-02,1.10840E+00
2.37804152E-02,1.10840E+00
2.37804176E-02,1.10840E+00
2.37804200E-02,1.11816E+00
2.37804224E-02,1.10840E+00
2.37804248E-02,1.14746E+00
2.37804272E-02,1.11816E+00
2.37804296E-02,1.12793E+00
2.37804320E-02,1.09863E+00
2.37804344E-02,1.11816E+00
2.37804368E-02,1.10840E+00
2.37804392E-02,1.13770E+00
2.37804416E-02,1.10840E+00
2.37804440E-02,1.11816E+00
2.37804464E-02,1.12793E+00
2.37804488E-02,1.10840E+00
2.37804512E-02,1.11816E+00
2.37804536E-02,1.13770E+00
2.37804560E-02,1.11816E+00
2.37804584E-02,1.13770E+00
2.37804608E-02,1.13770E+00
2.37804632E-02,1.12793E+00
2.37804656E-02,1.10840E+00
2.37804680E-02,1.08887E+00
2.37804704E-02,1.11816E+00
2.37804728E-02,1.13770E+00
2.37804752E-02,1.07910E+00
2.37804776E-02,1.13770E+00
2.37804800E-02,1.13770E+00
2.37804824E-02,1.11816E+00
2.37804848E-02,1.15723E+00
2.37804872E-02,1.14746E+00
2.37804896E-02,1.15723E+00
2.37804920E-02,1.08887E+00
2.37804944E-02,1.14746E+00
2.37804968E-02,1.14746E+00
2.37804992E-02,1.14746E+00
2.37805016E-02,1.12793E+00
2.37805040E-02,1.10840E+00
2.37805064E-02,1.16699E+00
2.37805088E-02,1.08887E+00
2.37805112E-02,1.12793E+00
2.37805136E-02,1.14746E+00
2.37805160E-02,1.14746E+00
2.37805184E-02,1.14746E+00
2.37805208E-02,1.17676E+00
2.37805232E-02,1.15723E+00
2.37805256E-02,1.16699E+00
2.37805280E-02,1.12793E+00
2.37805304E-02,1.17676E+00
2.37805328E-02,1.14746E+00
2.37805352E-02,1.17676E+00
2.37805376E-02,1.15723E+00
2.37805400E-02,1.14746E+00
2.37805424E-02,1.15723E+00
2.37805448E-02,1.17676E+00
2.37805472E-02,1.14746E+00
2.37805496E-02,1.14746E+00
2.37805520E-02,1.14746E+00
2.37805544E-02,1.13770E+00
2.37805568E-02,1.16699E+00
2.37805592E-02,1.14746E+00
2.37805616E-02,1.14746E+00
2.37805640E-02,1.14746E+00
2.37805664E-02,1.14746E+00
2.37805688E-02,1.14746E+00
2.37805712E-02,1.14746E+00
2.37805736E-02,1.14746E+00
2.37805760E-02,1.17676E+00
2.37805784E-02,1.15723E+00
2.37805808E-02,1.13770E+00
2.37805832E-02,1.16699E+00
2.37805856E-02,1.16699E+00
2.37805880E-02,1.17676E+00
2.37805904E-02,1.16699E+00
2.37805928E-02,1.17676E+00
2.37805952E-02,1.15723E+00
2.37805976E-02,1.19629E+00
2.37806000E-02,1.16699E+00
2.37806024E-02,1.17676E+00
2.37806048E-02,1.17676E+00
2.37806072E-02,1.18652E+00
2.37806096E-02,1.16699E+00
2.37806120E-02,1.14746E+00
2.37806144E-02,1.18652E+00
2.37806168E-02,1.14746E+00
2.37806192E-02,1.14746E+00
2.37806216E-02,1.17676E+00
2.37806240E-02,1.17676E+00
2.37806264E-02,1.16699E+00
2.37806288E-02,1.18652E+00
2.37806312E-02,1.17676E+00
2.37806336E-02,1.19629E+00
2.37806360E-02,1.15723E+00
2.37806384E-02,1.17676E+00
2.37806408E-02,1.18652E+00
2.37806432E-02,1.18652E+00
2.37806456E-02,1.18652E+00
2.37806480E-02,1.17676E+00
2.37806504E-02,1.17676E+00
2.37806528E-02,1.18652E+00
2.37806552E-02,1.16699E+00
2.37806576E-02,1.19629E+00
2.37806600E-02,1.22559E+00
2.37806624E-02,1.21582E+00
2.37806648E-02,1.18652E+00
2.37806672E-02,1.16699E+00
2.37806696E-02,1.19629E+00
2.37806720E-02,1.22559E+00
2.37806744E-02,1.18652E+00
2.37806768E-02,1.21582E+00
2.37806792E-02,1.19629E+00
2.37806816E-02,1.22559E+00
2.37806840E-02,1.18652E+00
2.37806864E-02,1.19629E+00
2.37806888E-02,1.19629E+00
2.37806912E-02,1.20605E+00
2.37806936E-02,1.20605E+00
2.37806960E-02,1.19629E+00
2.37806984E-02,1.21582E+00
2.37807008E-02,1.21582E+00
