Date and Time: 2025-12-04 11:45:35,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0,0.311,0.026,37.31244,36.64221,36.15442,35.49396,35.09491,34.65778,34.42334,34.34961
0.067145824,0.257,0.022,37.3013,36.63971,36.15894,35.5033,35.10864,34.67398,34.44226,34.37061
0.142743826,0.23,0.021,37.29456,36.6391,36.16071,35.50842,35.116,34.68344,34.45239,34.38358
0.220988035,0.19,0.017,37.28635,36.63647,36.16345,35.51462,35.12671,34.6976,34.46753,34.39572
0.295666933,0.163,0.017,37.28006,36.63513,36.16376,35.51816,35.13342,34.70621,34.47726,34.40796
0.373177052,0.122,0.015,37.27209,36.63327,36.16983,35.52545,35.1441,34.71817,34.49176,34.4234
0.448011875,0.096,0.013,37.26477,36.63144,36.17102,35.53061,35.15048,34.72629,34.50116,34.43161
0.526219845,0.056,0.012,37.25537,36.62869,36.17169,35.53763,35.16165,34.74088,34.51492,34.44785
0.601176977,0.029,0.009,37.25024,36.62701,36.1749,35.54248,35.16858,34.74863,34.52499,34.4574
0.679016829,-0.01,-0.008,37.24185,36.62509,36.17648,35.54752,35.1777,34.76187,34.53983,34.47241
0.753087044,-0.036,-0.014,37.23578,36.62305,36.17804,35.55182,35.18478,34.77023,34.54895,34.48209
0.829571962,-0.077,-0.025,37.22653,36.62106,36.18112,35.55786,35.19409,34.78085,34.56226,34.49802
0.905611038,-0.103,-0.044,37.21991,36.61862,36.18213,35.56287,35.20099,34.79016,34.57184,34.50745
0.980098009,-0.144,-0.061,37.20938,36.61392,36.18298,35.56833,35.21072,34.80237,34.58426,34.52142
1.055485964,-0.17,-0.08,37.20529,36.61362,36.18539,35.57272,35.21759,34.8111,34.59451,34.53104
1.132745028,-0.21,-0.097,37.19623,36.61148,36.18787,35.57849,35.2261,34.82285,34.60922,34.54691
1.208029032,-0.238,-0.116,37.1907,36.60947,36.18741,35.58069,35.23267,34.83121,34.61862,34.55667
1.28451395,-0.277,-0.131,37.18094,36.60547,36.1904,35.58838,35.24246,34.84277,34.63019,34.57068
1.359032869,-0.304,-0.15,37.17395,36.60297,36.19266,35.59103,35.2493,34.84933,34.63913,34.58078
1.437234879,-0.344,-0.166,37.16562,36.6011,36.19189,35.59644,35.25778,34.86292,34.65341,34.59448
1.513033867,-0.371,-0.184,37.16006,36.59833,36.19345,35.60016,35.26419,34.87164,34.66214,34.60345
1.589102983,-0.41,-0.2,37.15002,36.59583,36.19574,35.60559,35.27313,34.88129,34.67581,34.61731
1.665496826,-0.438,-0.219,37.14468,36.59351,36.19653,35.60968,35.2782,34.88992,34.68375,34.62799
