EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
87.8427,0,0,0
103.658,0,0,0
119.591,0,0,0
84.7448,0,0,0
77.8827,0,0,0
97.1467,0,0,0
122.481,0,0,0
186.889,0,0,0
92.9951,0,0,0
85.7703,0,0,0
81.8504,0,0,0
94.3181,0,0,0
141.651,0,0,0
106.57,0,0,0
132.173,0,0,0
136.354,0,0,0
73.5265,0,0,0
106.926,0,0,0
127.793,0,0,0
74.2648,0,0,0
257.547,0,0,0
108.866,0,0,0
69.6612,0,0,0
73.0445,0,0,0
67.2079,0,0,0
116.821,0,0,0
85.7543,0,0,0
77.0297,0,0,0
73.5235,0,0,0
66.407,0,0,0
103.297,0,0,0
142.956,0,0,0
147.286,0,0,0
116.363,0,0,0
97.9578,0,0,0
102.034,0,0,0
89.7904,0,0,0
70.668,0,0,0
92.0207,0,0,0
86.9908,0,0,0
79.6627,0,0,0
237.343,0,0,0
88.7941,0,0,0
107.611,0,0,0
90.5704,0,0,0
92.2613,0,0,0
83.8428,0,0,0
111.768,0,0,0
129.644,0,0,0
87.4594,0,0,0
180.011,0,0,0
229.356,0,0,0
93.1718,0,0,0
285.421,0,0,0
84.4343,0,0,0
87.1352,0,0,0
144.397,0,0,0
77.3039,0,0,0
93.5438,0,0,0
87.5121,0,0,0
78.8944,0,0,0
229.701,0,0,0
115.164,0,0,0
74.4968,0,0,0
68.8938,0,0,0
83.5033,0,0,0
126.219,0,0,0
135.774,0,0,0
62.4179,0,0,0
76.7295,0,0,0
94.9143,0,0,0
135.511,0,0,0
93.54,0,0,0
75.4841,0,0,0
99.9141,0,0,0
89.8398,0,0,0
88.1926,0,0,0
89.3691,0,0,0
104.098,0,0,0
90.7412,0,0,0
100.214,0,0,0
310.637,0,0,0
206.474,0,0,0
272.182,0,0,0
94.7464,0,0,0
283.778,0,0,0
83.8596,0,0,0
146.652,0,0,0
125.435,0,0,0
127.929,0,0,0
76.5568,0,0,0
127.556,0,0,0
86.4458,0,0,0
80.9707,0,0,0
180.743,0,0,0
120.408,0,0,0
75.9786,0,0,0
111.888,0,0,0
94.2556,0,0,0
76.528,0,0,0
