EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
18.6596,0,0,0
400.723,0,0,0
14.2533,0,0,0
161.218,0,0,0
19.353,0,0,0
83.0606,0,0,0
61.9004,0,0,0
355.099,0,0,0
16.4651,0,0,0
383.678,0,0,0
37.3586,0,0,0
94.5879,0,0,0
138.603,0,0,0
491.817,0,0,0
112.168,0,0,0
169.87,0,0,0
73.9187,0,0,0
31.5347,0,0,0
57.0467,0,0,0
87.7712,0,0,0
136.344,0,0,0
24.4959,0,0,0
223.571,0,0,0
57.8714,0,0,0
44.8694,0,0,0
214.953,0,0,0
295.945,0,0,0
22.6668,0,0,0
6.36015,0,0,0
27.4961,0,0,0
40.9764,0,0,0
26.6422,0,0,0
107.854,0,0,0
10.5014,0,0,0
45.2542,0,0,0
5.88013,0,0,0
59.8988,0,0,0
40.8086,0,0,0
8.79979,0,0,0
12.214,0,0,0
183.057,0,0,0
99.1689,0,0,0
24.7754,0,0,0
56.2854,0,0,0
6.94351,0,0,0
38.3576,0,0,0
21.9421,0,0,0
85.7676,0,0,0
53.8241,0,0,0
0.234832,0,0,0
301.103,0,0,0
44.3683,0,0,0
117.567,0,0,0
31.1528,0,0,0
62.907,0,0,0
36.4216,0,0,0
119.633,0,0,0
151.439,0,0,0
90.2661,0,0,0
54.3512,0,0,0
274.816,0,0,0
60.8249,0,0,0
72.7494,0,0,0
32.7355,0,0,0
32.8844,0,0,0
68.1855,0,0,0
50.2765,0,0,0
168.384,0,0,0
11.6186,0,0,0
69.6485,0,0,0
133.426,0,0,0
92.4612,0,0,0
20.6882,0,0,0
98.4395,0,0,0
518.169,0,0,0
337.998,0,0,0
264.41,0,0,0
28.7429,0,0,0
11.7756,0,0,0
278.04,0,0,0
270.299,0,0,0
53.3156,0,0,0
147.647,0,0,0
49.3097,0,0,0
115.043,0,0,0
43.3409,0,0,0
300.145,0,0,0
47.2881,0,0,0
69.3216,0,0,0
33.3353,0,0,0
9.37039,0,0,0
161.922,0,0,0
64.0226,0,0,0
56.3085,0,0,0
98.7661,0,0,0
114.095,0,0,0
330.877,0,0,0
142.149,0,0,0
46.9857,0,0,0
56.7163,0,0,0
11.7613,0,0,0
76.1168,0,0,0
16.4582,0,0,0
64.5109,0,0,0
75.7777,0,0,0
22.5309,0,0,0
232.639,0,0,0
63.4368,0,0,0
29.5146,0,0,0
5.78521,0,0,0
25.2247,0,0,0
134.802,0,0,0
52.1411,0,0,0
22.5661,0,0,0
92.1741,0,0,0
72.0283,0,0,0
7.97429,0,0,0
1.43851,0,0,0
66.1391,0,0,0
13.8275,0,0,0
157.237,0,0,0
23.5762,0,0,0
21.3106,0,0,0
8.92398,0,0,0
64.5671,0,0,0
155.645,0,0,0
319.162,0,0,0
99.697,0,0,0
40.9758,0,0,0
40.4081,0,0,0
73.7679,0,0,0
122.159,0,0,0
119.463,0,0,0
50.9333,0,0,0
73.7138,0,0,0
21.9106,0,0,0
133.999,0,0,0
32.1202,0,0,0
201.337,0,0,0
431.226,0,0,0
53.7681,0,0,0
9.44281,0,0,0
18.0076,0,0,0
21.9816,0,0,0
