EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
298.789,0,0,0
297.056,0,0,0
298.161,0,0,0
298.416,0,0,0
266.665,0,0,0
298.586,0,0,0
297.324,0,0,0
297.429,0,0,0
296.302,0,0,0
298.817,0,0,0
297.544,0,0,0
298.772,0,0,0
298.815,0,0,0
42.4903,0,0,0
275.383,0,0,0
298.589,0,0,0
298.246,0,0,0
125.146,0,0,0
298.815,0,0,0
151.057,0,0,0
296.499,0,0,0
296.324,0,0,0
298.793,0,0,0
298.683,0,0,0
298.917,0,0,0
297.574,0,0,0
298.52,0,0,0
298.143,0,0,0
294.887,0,0,0
299.274,0,0,0
298.773,0,0,0
297.079,0,0,0
298.937,0,0,0
298.094,0,0,0
178.434,0,0,0
154.652,0,0,0
192.464,0,0,0
222.753,0,0,0
298.62,0,0,0
298.034,0,0,0
297.925,0,0,0
296.773,0,0,0
296.689,0,0,0
48.9649,0,0,0
133.255,0,0,0
202.437,0,0,0
299.111,0,0,0
298.399,0,0,0
298.817,0,0,0
298.265,0,0,0
90.5657,0,0,0
297.228,0,0,0
298.525,0,0,0
297.825,0,0,0
297.176,0,0,0
298.377,0,0,0
295.731,0,0,0
287.866,0,0,0
153.292,0,0,0
299.048,0,0,0
28.7841,0,0,0
270.276,0,0,0
297.685,0,0,0
142.488,0,0,0
43.3543,0,0,0
298.444,0,0,0
297.048,0,0,0
298.746,0,0,0
298.838,0,0,0
297.625,0,0,0
298.809,0,0,0
298.683,0,0,0
293.978,0,0,0
297.274,0,0,0
298.197,0,0,0
219.52,0,0,0
298.749,0,0,0
298.853,0,0,0
136.713,0,0,0
298.528,0,0,0
298.644,0,0,0
298.588,0,0,0
298.834,0,0,0
239.023,0,0,0
298.979,0,0,0
152.827,0,0,0
290.635,0,0,0
176.554,0,0,0
296.567,0,0,0
297.837,0,0,0
298.125,0,0,0
125.31,0,0,0
298.491,0,0,0
296.884,0,0,0
297.508,0,0,0
114.013,0,0,0
298.673,0,0,0
281.792,0,0,0
297.562,0,0,0
298.908,0,0,0
