EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
60,0,0,0
3.6197,0,0,0
60,0,0,0
6.25104,0,0,0
2.039,0,0,0
60,0,0,0
60,0,0,0
7.7196,0,0,0
1.86197,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.3437,0,0,0
60,0,0,0
10.7931,0,0,0
60,0,0,0
9.44599,0,0,0
60,0,0,0
2.434,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.51776,0,0,0
3.00724,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.76975,0,0,0
60,0,0,0
1.32719,0,0,0
60,0,0,0
10.28,0,0,0
4.96051,0,0,0
5.83451,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.94723,0,0,0
60,0,0,0
11.1061,0,0,0
60,0,0,0
0.30153,0,0,0
5.1375,0,0,0
0.858841,0,0,0
8.98011,0,0,0
60,0,0,0
60,0,0,0
9.69717,0,0,0
8.28441,0,0,0
5.32794,0,0,0
9.38493,0,0,0
60,0,0,0
60,0,0,0
10.6575,0,0,0
3.77153,0,0,0
11.0045,0,0,0
8.90192,0,0,0
60,0,0,0
1.19838,0,0,0
11.3369,0,0,0
10.8937,0,0,0
5.53242,0,0,0
2.67705,0,0,0
60,0,0,0
8.58815,0,0,0
1.8132,0,0,0
9.80652,0,0,0
2.56654,0,0,0
60,0,0,0
2.47677,0,0,0
60,0,0,0
10.7236,0,0,0
60,0,0,0
2.80056,0,0,0
1.62657,0,0,0
60,0,0,0
13.4129,0,0,0
5.04568,0,0,0
60,0,0,0
8.07788,0,0,0
8.15483,0,0,0
0.670435,0,0,0
11.1263,0,0,0
60,0,0,0
4.18533,0,0,0
4.23872,0,0,0
8.27661,0,0,0
6.74575,0,0,0
10.6008,0,0,0
8.10243,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.6641,0,0,0
60,0,0,0
60,0,0,0
10.2301,0,0,0
60,0,0,0
2.35049,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.04746,0,0,0
60,0,0,0
10.945,0,0,0
60,0,0,0
8.1018,0,0,0
60,0,0,0
2.29927,0,0,0
9.09965,0,0,0
60,0,0,0
60,0,0,0
2.20355,0,0,0
0.45036,0,0,0
60,0,0,0
6.02255,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.70195,0,0,0
1.37764,0,0,0
60,0,0,0
9.25467,0,0,0
5.37325,0,0,0
3.63717,0,0,0
60,0,0,0
60,0,0,0
3.8712,0,0,0
9.95459,0,0,0
3.8765,0,0,0
60,0,0,0
10.352,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.6666,0,0,0
60,0,0,0
7.58998,0,0,0
10.6846,0,0,0
10.1795,0,0,0
60,0,0,0
7.578,0,0,0
3.3605,0,0,0
60,0,0,0
1.15841,0,0,0
60,0,0,0
60,0,0,0
2.79756,0,0,0
32.804,0,0,0
60,0,0,0
8.06671,0,0,0
9.12034,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.891369,0,0,0
60,0,0,0
60,0,0,0
11.0269,0,0,0
0.595825,0,0,0
9.97023,0,0,0
3.29039,0,0,0
7.60082,0,0,0
7.04892,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.436512,0,0,0
60,0,0,0
1.27101,0,0,0
7.6128,0,0,0
2.19632,0,0,0
60,0,0,0
12.5455,0,0,0
60,0,0,0
60,0,0,0
4.90645,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.17312,0,0,0
60,0,0,0
60,0,0,0
4.99213,0,0,0
10.3458,0,0,0
15.5669,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.50144,0,0,0
7.63327,0,0,0
1.05464,0,0,0
9.9836,0,0,0
6.68561,0,0,0
7.4597,0,0,0
4.87847,0,0,0
60,0,0,0
60,0,0,0
3.07492,0,0,0
7.14731,0,0,0
6.54795,0,0,0
9.13441,0,0,0
1.93741,0,0,0
60,0,0,0
60,0,0,0
4.64764,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.3512,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.36614,0,0,0
10.0472,0,0,0
7.8427,0,0,0
60,0,0,0
3.39022,0,0,0
60,0,0,0
60,0,0,0
1.14331,0,0,0
4.60797,0,0,0
60,0,0,0
0.92421,0,0,0
60,0,0,0
7.31935,0,0,0
11.3227,0,0,0
60,0,0,0
60,0,0,0
21.1794,0,0,0
60,0,0,0
10.4254,0,0,0
4.81849,0,0,0
60,0,0,0
3.08673,0,0,0
60,0,0,0
60,0,0,0
2.6824,0,0,0
1.33082,0,0,0
60,0,0,0
60,0,0,0
3.15606,0,0,0
2.16101,0,0,0
9.18617,0,0,0
10.7134,0,0,0
3.90266,0,0,0
0.273948,0,0,0
11.1244,0,0,0
12.6199,0,0,0
5.37006,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.85667,0,0,0
9.64339,0,0,0
60,0,0,0
1.79276,0,0,0
4.53614,0,0,0
11.1917,0,0,0
60,0,0,0
2.82258,0,0,0
60,0,0,0
60,0,0,0
7.63553,0,0,0
9.16445,0,0,0
60,0,0,0
4.44371,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.35309,0,0,0
1.44245,0,0,0
60,0,0,0
60,0,0,0
5.24991,0,0,0
1.36743,0,0,0
4.68556,0,0,0
60,0,0,0
3.89309,0,0,0
60,0,0,0
6.28494,0,0,0
10.4836,0,0,0
60,0,0,0
9.89143,0,0,0
0.592691,0,0,0
60,0,0,0
2.05652,0,0,0
8.86994,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.1914,0,0,0
5.83432,0,0,0
60,0,0,0
11.0816,0,0,0
60,0,0,0
60,0,0,0
1.21256,0,0,0
60,0,0,0
60,0,0,0
6.1712,0,0,0
18.6979,0,0,0
2.97059,0,0,0
10.4416,0,0,0
60,0,0,0
3.84719,0,0,0
60,0,0,0
1.41373,0,0,0
60,0,0,0
9.34607,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.86263,0,0,0
11.4082,0,0,0
10.4265,0,0,0
60,0,0,0
4.26645,0,0,0
2.50589,0,0,0
60,0,0,0
7.79574,0,0,0
10.899,0,0,0
6.92184,0,0,0
9.82593,0,0,0
1.63494,0,0,0
11.1739,0,0,0
60,0,0,0
60,0,0,0
9.33645,0,0,0
60,0,0,0
3.0533,0,0,0
60,0,0,0
10.1027,0,0,0
5.87617,0,0,0
60,0,0,0
4.92027,0,0,0
5.7561,0,0,0
60,0,0,0
60,0,0,0
10.717,0,0,0
0.365009,0,0,0
60,0,0,0
60,0,0,0
1.59659,0,0,0
7.85208,0,0,0
60,0,0,0
1.59178,0,0,0
2.76459,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.616,0,0,0
3.78307,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.2053,0,0,0
60,0,0,0
5.98804,0,0,0
11.3728,0,0,0
10.3536,0,0,0
0.760193,0,0,0
10.0351,0,0,0
1.60648,0,0,0
9.88803,0,0,0
60,0,0,0
0.499152,0,0,0
10.7341,0,0,0
10.5147,0,0,0
2.39233,0,0,0
0.185146,0,0,0
60,0,0,0
5.43795,0,0,0
10.915,0,0,0
0.162681,0,0,0
7.83416,0,0,0
8.32093,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.48885,0,0,0
2.66064,0,0,0
2.54981,0,0,0
7.10038,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.2045,0,0,0
60,0,0,0
9.95895,0,0,0
60,0,0,0
7.28172,0,0,0
0.730817,0,0,0
60,0,0,0
60,0,0,0
8.84411,0,0,0
60,0,0,0
60,0,0,0
10.1436,0,0,0
9.5889,0,0,0
8.74893,0,0,0
8.70488,0,0,0
60,0,0,0
0.471272,0,0,0
4.38795,0,0,0
60,0,0,0
10.2341,0,0,0
5.16029,0,0,0
11.2899,0,0,0
10.452,0,0,0
60,0,0,0
6.65741,0,0,0
60,0,0,0
60,0,0,0
2.63525,0,0,0
13.298,0,0,0
10.7206,0,0,0
11.0617,0,0,0
60,0,0,0
4.5019,0,0,0
5.36111,0,0,0
1.20242,0,0,0
60,0,0,0
10.506,0,0,0
8.85469,0,0,0
60,0,0,0
5.18962,0,0,0
0.98207,0,0,0
5.3546,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.08515,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.99349,0,0,0
60,0,0,0
1.63771,0,0,0
60,0,0,0
5.38563,0,0,0
60,0,0,0
2.92066,0,0,0
7.19057,0,0,0
0.308454,0,0,0
6.11047,0,0,0
60,0,0,0
60,0,0,0
9.58523,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.49996,0,0,0
4.95706,0,0,0
60,0,0,0
0.206054,0,0,0
60,0,0,0
1.16905,0,0,0
60,0,0,0
60,0,0,0
9.2212,0,0,0
60,0,0,0
10.8057,0,0,0
7.34683,0,0,0
0.345801,0,0,0
9.50878,0,0,0
60,0,0,0
60,0,0,0
3.17752,0,0,0
4.84417,0,0,0
60,0,0,0
2.60347,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.781181,0,0,0
3.89162,0,0,0
7.53931,0,0,0
1.94332,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.61441,0,0,0
3.21302,0,0,0
11.1097,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.2616,0,0,0
60,0,0,0
10.0353,0,0,0
11.1016,0,0,0
60,0,0,0
6.63327,0,0,0
9.96111,0,0,0
9.66947,0,0,0
60,0,0,0
60,0,0,0
10.6422,0,0,0
60,0,0,0
60,0,0,0
8.69783,0,0,0
7.41914,0,0,0
4.75994,0,0,0
2.30438,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.685265,0,0,0
60,0,0,0
4.2703,0,0,0
2.74488,0,0,0
11.0521,0,0,0
60,0,0,0
60,0,0,0
4.29259,0,0,0
9.79646,0,0,0
1.12178,0,0,0
7.76134,0,0,0
60,0,0,0
60,0,0,0
7.10068,0,0,0
60,0,0,0
60,0,0,0
10.2318,0,0,0
9.25033,0,0,0
6.39934,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.16061,0,0,0
5.90899,0,0,0
60,0,0,0
60,0,0,0
8.95368,0,0,0
1.66756,0,0,0
8.55629,0,0,0
60,0,0,0
1.76121,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.63814,0,0,0
60,0,0,0
60,0,0,0
38.243,0,0,0
60,0,0,0
2.63631,0,0,0
8.54919,0,0,0
60,0,0,0
2.04327,0,0,0
60,0,0,0
60,0,0,0
1.49784,0,0,0
8.29162,0,0,0
60,0,0,0
6.5719,0,0,0
7.21972,0,0,0
9.29742,0,0,0
1.57003,0,0,0
60,0,0,0
60,0,0,0
10.4264,0,0,0
6.21292,0,0,0
2.15824,0,0,0
3.10188,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.04893,0,0,0
10.4818,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.99028,0,0,0
60,0,0,0
10.9644,0,0,0
60,0,0,0
60,0,0,0
3.80889,0,0,0
10.0131,0,0,0
10.6073,0,0,0
5.41567,0,0,0
3.51184,0,0,0
0.860773,0,0,0
60,0,0,0
9.51414,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.88806,0,0,0
2.64997,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.37997,0,0,0
8.03506,0,0,0
60,0,0,0
5.07209,0,0,0
10.7119,0,0,0
8.44848,0,0,0
6.27874,0,0,0
60,0,0,0
9.88143,0,0,0
1.66025,0,0,0
3.18884,0,0,0
2.05834,0,0,0
0.434613,0,0,0
60,0,0,0
2.59567,0,0,0
1.89063,0,0,0
5.54324,0,0,0
10.9384,0,0,0
10.6515,0,0,0
0.453576,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.335784,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
14.5739,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.02973,0,0,0
60,0,0,0
60,0,0,0
9.06303,0,0,0
5.01381,0,0,0
0.903063,0,0,0
60,0,0,0
4.83048,0,0,0
60,0,0,0
10.7541,0,0,0
60,0,0,0
2.55518,0,0,0
1.15387,0,0,0
2.46948,0,0,0
7.89659,0,0,0
1.85341,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.1063,0,0,0
60,0,0,0
2.92139,0,0,0
5.67749,0,0,0
9.74097,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.2845,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.8864,0,0,0
60,0,0,0
11.2171,0,0,0
0.399002,0,0,0
4.19177,0,0,0
1.17554,0,0,0
1.1429,0,0,0
10.2756,0,0,0
60,0,0,0
60,0,0,0
4.23138,0,0,0
2.39058,0,0,0
60,0,0,0
10.5552,0,0,0
60,0,0,0
4.07188,0,0,0
11.2085,0,0,0
8.66964,0,0,0
3.78363,0,0,0
3.01522,0,0,0
7.99572,0,0,0
7.90786,0,0,0
1.25878,0,0,0
1.5275,0,0,0
10.8989,0,0,0
8.08449,0,0,0
60,0,0,0
60,0,0,0
8.00884,0,0,0
7.09198,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.26509,0,0,0
60,0,0,0
6.79655,0,0,0
1.90176,0,0,0
2.4145,0,0,0
10.6763,0,0,0
0.380646,0,0,0
60,0,0,0
60,0,0,0
0.619503,0,0,0
3.61189,0,0,0
10.6198,0,0,0
60,0,0,0
60,0,0,0
2.00592,0,0,0
8.63586,0,0,0
60,0,0,0
5.06239,0,0,0
7.62799,0,0,0
8.49194,0,0,0
0.878535,0,0,0
60,0,0,0
2.33252,0,0,0
3.80671,0,0,0
60,0,0,0
7.62953,0,0,0
3.831,0,0,0
60,0,0,0
60,0,0,0
8.23646,0,0,0
8.85271,0,0,0
3.03663,0,0,0
1.07668,0,0,0
60,0,0,0
10.3272,0,0,0
0.294793,0,0,0
4.17465,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.86184,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.34703,0,0,0
4.835,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.48364,0,0,0
60,0,0,0
60,0,0,0
1.07283,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.1918,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.73928,0,0,0
8.94803,0,0,0
10.9928,0,0,0
5.36758,0,0,0
6.03834,0,0,0
0.122217,0,0,0
60,0,0,0
9.46344,0,0,0
60,0,0,0
1.17665,0,0,0
60,0,0,0
10.5405,0,0,0
11.1277,0,0,0
2.57231,0,0,0
60,0,0,0
0.124741,0,0,0
7.28397,0,0,0
60,0,0,0
60,0,0,0
1.54528,0,0,0
60,0,0,0
2.969,0,0,0
2.42883,0,0,0
9.50863,0,0,0
60,0,0,0
60,0,0,0
3.22052,0,0,0
4.64611,0,0,0
1.67942,0,0,0
60,0,0,0
10.3295,0,0,0
1.00226,0,0,0
60,0,0,0
1.4871,0,0,0
2.58267,0,0,0
