Distance,Counts/s,(n/Δt)d^2,Erorr,Rel-Error
1.70E-02,3.63E+04,1.05E+01,1.24E+00,1.18E-01
6.70E-02,3.35E+03,1.50E+01,5.19E-01,3.45E-02
4.70E-02,6.72E+03,1.48E+01,6.57E-01,4.43E-02
3.70E-02,1.05E+04,1.44E+01,7.90E-01,5.49E-02
2.70E-02,1.87E+04,1.36E+01,1.01E+00,7.44E-02
2.20E-02,2.59E+04,1.25E+01,1.14E+00,9.11E-02
1.17E-01,1.07E+03,1.46E+01,5.71E-01,3.90E-02
2.17E-01,2.92E+02,1.37E+01,8.24E-01,6.00E-02
3.17E-01,1.27E+02,1.28E+01,1.14E+00,8.92E-02
4.17E-01,7.00E+01,1.22E+01,1.46E+00,1.20E-01
5.17E-01,4.41E+01,1.18E+01,1.78E+00,1.51E-01
6.17E-01,3.05E+01,1.16E+01,2.10E+00,1.81E-01
7.17E-01,2.21E+01,1.13E+01,2.42E+00,2.13E-01
8.17E-01,1.62E+01,1.08E+01,2.69E+00,2.48E-01
