Interval between events (microseconds) - histogram count,Number of counts - histogram count
0.015625,0
0.046875,0
0.078125,0
0.109375,0
0.140625,0
0.171875,0
0.203125,0
0.234375,0
0.265625,0
0.296875,0
0.328125,0
0.359375,0
0.390625,0
0.421875,0
0.453125,0
0.484375,0
0.515625,0
0.546875,0
0.578125,0
0.609375,0
0.640625,0
0.671875,0
0.703125,0
0.734375,0
0.765625,0
0.796875,0
0.828125,0
0.859375,0
0.890625,0
0.921875,0
0.953125,0
0.984375,0
1.01563,0
1.04688,0
1.07813,0
1.10938,2
1.14063,0
1.17188,0
1.20313,0
1.23438,0
1.26563,0
1.29688,0
1.32813,0
1.35938,0
1.39063,1
1.42188,1
1.45313,1
1.48438,0
1.51563,3
1.54688,1
1.57813,2
1.60938,2
1.64063,1
1.67188,2
1.70313,0
1.73438,2
1.76563,3
1.79688,4
1.82813,1
1.85938,2
1.89063,3
1.92188,4
1.95313,0
1.98438,2
2.01563,4
2.04688,5
2.07813,4
2.10938,3
2.14063,6
2.17188,9
2.20313,9
2.23438,9
2.26563,6
2.29688,8
2.32813,11
2.35938,3
2.39063,9
2.42188,12
2.45313,12
2.48438,9
2.51563,6
2.54688,4
2.57813,10
2.60938,4
2.64063,6
2.67188,4
2.70313,10
2.73438,11
2.76563,6
2.79688,7
2.82813,7
2.85938,6
2.89063,6
2.92188,11
2.95313,11
2.98438,3
3.01563,10
3.04688,6
3.07813,3
3.10938,5
3.14063,4
3.17188,8
3.20313,7
3.23438,8
3.26563,4
3.29688,7
3.32813,9
3.35938,8
3.39063,7
3.42188,3
3.45313,1
3.48438,9
3.51563,10
3.54688,10
3.57813,10
3.60938,8
3.64063,9
3.67188,7
3.70313,8
3.73438,6
3.76563,9
3.79688,7
3.82813,7
3.85938,6
3.89063,7
3.92188,6
3.95313,5
3.98438,3
4.01563,10
4.04688,10
4.07813,1
4.10938,12
4.14063,10
4.17188,12
4.20313,5
4.23438,7
4.26563,11
4.29688,2
4.32813,8
4.35938,5
4.39063,6
4.42188,10
4.45313,7
4.48438,9
4.51563,9
4.54688,11
4.57813,5
4.60938,6
4.64063,10
4.67188,13
4.70313,4
4.73438,10
4.76563,6
4.79688,7
4.82813,10
4.85938,6
4.89063,5
4.92188,6
4.95313,9
4.98438,10
5.01563,13
5.04688,6
5.07813,10
5.10938,2
5.14063,12
5.17188,5
5.20313,8
5.23438,8
5.26563,10
5.29688,6
5.32813,10
5.35938,8
5.39063,5
5.42188,5
5.45313,9
5.48438,5
5.51563,8
5.54688,16
5.57813,5
5.60938,3
5.64063,9
5.67188,5
5.70313,11
5.73438,2
5.76563,7
5.79688,6
5.82813,12
5.85938,2
5.89063,8
5.92188,10
5.95313,6
5.98438,5
6.01563,11
6.04688,10
6.07813,6
6.10938,8
6.14063,4
6.17188,5
6.20313,7
6.23438,5
6.26563,8
6.29688,7
6.32813,10
6.35938,3
6.39063,7
6.42188,8
6.45313,7
6.48438,7
6.51563,9
6.54688,3
6.57813,7
6.60938,4
6.64063,6
6.67188,8
6.70313,8
6.73438,6
6.76563,9
6.79688,8
6.82813,6
6.85938,7
6.89063,11
6.92188,5
6.95313,5
6.98438,7
7.01563,14
7.04688,10
7.07813,3
7.10938,11
7.14063,9
7.17188,6
7.20313,7
7.23438,13
7.26563,13
7.29688,9
7.32813,11
7.35938,5
7.39063,2
7.42188,7
7.45313,12
7.48438,8
7.51563,5
7.54688,6
7.57813,3
7.60938,5
7.64063,8
7.67188,7
7.70313,12
7.73438,4
7.76563,7
7.79688,10
7.82813,8
7.85938,6
7.89063,9
7.92188,6
7.95313,8
7.98438,8
8.01563,7
8.04688,8
8.07813,4
8.10938,4
8.14063,3
8.17188,9
8.20313,9
8.23438,4
8.26563,11
8.29688,8
8.32813,7
8.35938,9
8.39063,9
8.42188,9
8.45313,6
8.48438,10
8.51563,13
8.54688,5
8.57813,9
8.60938,9
8.64063,4
8.67188,6
8.70313,7
8.73438,7
8.76563,9
8.79688,7
8.82813,12
8.85938,11
8.89063,10
8.92188,9
8.95313,6
8.98438,6
9.01563,8
9.04688,5
9.07813,9
9.10938,8
9.14063,5
9.17188,8
9.20313,9
9.23438,5
9.26563,8
9.29688,5
9.32813,11
9.35938,9
9.39063,6
9.42188,8
9.45313,7
9.48438,9
9.51563,8
9.54688,5
9.57813,11
9.60938,8
9.64063,8
9.67188,8
9.70313,8
9.73438,6
9.76563,8
9.79688,8
9.82813,8
9.85938,4
9.89063,10
9.92188,6
9.95313,10
9.98438,8
10.0156,12
10.0469,6
10.0781,8
10.1094,8
10.1406,4
10.1719,10
10.2031,5
10.2344,9
10.2656,6
10.2969,7
10.3281,8
10.3594,4
10.3906,9
10.4219,12
10.4531,7
10.4844,15
10.5156,5
10.5469,13
10.5781,11
10.6094,10
10.6406,7
10.6719,9
10.7031,8
10.7344,5
10.7656,4
10.7969,7
10.8281,8
10.8594,8
10.8906,8
10.9219,5
10.9531,8
10.9844,6
11.0156,8
11.0469,8
11.0781,4
11.1094,5
11.1406,9
11.1719,9
11.2031,6
11.2344,2
11.2656,7
11.2969,3
11.3281,7
11.3594,7
11.3906,9
11.4219,12
11.4531,3
11.4844,8
11.5156,4
11.5469,6
11.5781,8
11.6094,5
11.6406,8
11.6719,13
11.7031,4
11.7344,8
11.7656,8
11.7969,6
11.8281,10
11.8594,9
11.8906,4
11.9219,9
11.9531,10
11.9844,4
12.0156,3
12.0469,4
12.0781,7
12.1094,7
12.1406,9
12.1719,8
12.2031,8
12.2344,9
12.2656,9
12.2969,11
12.3281,3
12.3594,9
12.3906,10
12.4219,7
12.4531,11
12.4844,3
12.5156,6
12.5469,9
12.5781,14
12.6094,2
12.6406,5
12.6719,7
12.7031,14
12.7344,9
12.7656,9
12.7969,5
12.8281,9
12.8594,11
12.8906,13
12.9219,10
12.9531,3
12.9844,9
13.0156,11
13.0469,7
13.0781,9
13.1094,6
13.1406,10
13.1719,6
13.2031,11
13.2344,5
13.2656,10
13.2969,7
13.3281,6
13.3594,5
13.3906,9
13.4219,8
13.4531,5
13.4844,7
13.5156,9
13.5469,7
13.5781,6
13.6094,8
13.6406,7
13.6719,8
13.7031,8
13.7344,5
13.7656,7
13.7969,14
13.8281,14
13.8594,7
13.8906,4
13.9219,8
13.9531,6
13.9844,5
14.0156,4
14.0469,8
14.0781,6
14.1094,9
14.1406,6
14.1719,7
14.2031,4
14.2344,17
14.2656,7
14.2969,14
14.3281,3
14.3594,4
14.3906,4
14.4219,5
14.4531,12
14.4844,9
14.5156,6
14.5469,2
14.5781,8
14.6094,12
14.6406,12
14.6719,5
14.7031,10
14.7344,5
14.7656,7
14.7969,8
14.8281,6
14.8594,8
14.8906,12
14.9219,3
14.9531,8
14.9844,7
15.0156,2
15.0469,6
15.0781,6
15.1094,11
15.1406,8
15.1719,2
15.2031,9
15.2344,3
15.2656,9
15.2969,7
15.3281,9
15.3594,3
15.3906,3
15.4219,8
15.4531,8
15.4844,7
15.5156,9
15.5469,3
15.5781,9
