Distance ,Counts/s, (n/?t)d^2,error,relative err
0.017,36300,10.4907,1.235427639,0.117764081
0.067,3350,15.03815,0.518668936,0.034490209
0.047,6720,14.84448,0.657123336,0.044267185
0.037,10500,14.3745,0.789561708,0.054927942
0.027,18700,13.6323,1.014708819,0.074434161
0.022,25900,12.5356,1.142258898,0.091121199
0.117,1070,14.64723,0.57086445,0.038974226
0.217,291.7,13.7358613,0.823930809,0.05998392
0.317,127.02,12.76411278,1.138254501,0.089176155
0.417,69.98,12.16875222,1.456991664,0.119732216
0.517,44.13,11.79546357,1.776784155,0.150632838
0.617,30.45,11.59198005,2.101371719,0.181278065
0.717,22.07,11.34594423,2.415538938,0.212898891
0.817,16.24,10.84002136,2.690167904,0.248169982
